CommandName,SelfHosted,SharedServices,PCloudStandard
Set-VPASLinkedAccount,TRUE,TRUE,TRUE
Set-VPASSQLConnectionDetails,TRUE,TRUE,TRUE
Test-VPASIdentityUserLocked,FALSE,TRUE,FALSE
Test-VPASSQLConnectionDetails,TRUE,TRUE,TRUE
Unlock-VPASExclusiveAccount,TRUE,TRUE,TRUE
Update-VPASAccountFields,TRUE,TRUE,TRUE
Update-VPASAuthenticationMethod,TRUE,TRUE,TRUE
Update-VPASEPVGroup,TRUE,TRUE,TRUE
Update-VPASEPVUser,TRUE,TRUE,TRUE
Update-VPASIdentityCurrentUserPassword,FALSE,TRUE,FALSE
Update-VPASIdentityRole,FALSE,TRUE,FALSE
Update-VPASPSMSettingsByPlatformID,TRUE,TRUE,TRUE
Update-VPASSafe,TRUE,TRUE,TRUE
Update-VPASSafeMember,TRUE,TRUE,TRUE
Watch-VPASActivePSMSession,TRUE,TRUE,TRUE
Write-VPASOutput,TRUE,TRUE,TRUE
